contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPXW250929P04200000,2025-08-20 14:47:24+00:00,4200.0,0.75,0.6,0.95,-1.07,-58.791206,2.0,5,0.49927258544921876,False,REGULAR,USD
SPXW250929P04400000,2025-08-22 18:05:35+00:00,4400.0,1.06,0.85,1.2,-1.31,-55.27426,2.0,4,0.4610039251708985,False,REGULAR,USD
SPXW250929P04800000,2025-08-15 14:12:12+00:00,4800.0,3.3,1.65,2.05,0.0,0.0,,2,0.3890441955566406,False,REGULAR,USD
SPXW250929P05000000,2025-08-18 13:53:57+00:00,5000.0,4.08,2.25,2.65,0.0,0.0,3.0,4,0.35263708892822265,False,REGULAR,USD
SPXW250929P05200000,2025-08-14 15:27:14+00:00,5200.0,5.98,3.0,3.5,0.0,0.0,,25,0.31688610366821285,False,REGULAR,USD
SPXW250929P05400000,2025-08-22 17:30:32+00:00,5400.0,4.4,4.1,4.6,-2.2999997,-34.328358,17.0,9,0.28018908294677725,False,REGULAR,USD
SPXW250929P05500000,2025-08-20 14:11:22+00:00,5500.0,9.9,4.9,5.4,0.0,0.0,6.0,46,0.2624585473632813,False,REGULAR,USD
SPXW250929P05600000,2025-08-22 19:30:32+00:00,5600.0,6.4,5.9,6.5,-3.9,-37.86408,2.0,70,0.24541465042114258,False,REGULAR,USD
SPXW250929P05700000,2025-08-22 19:39:30+00:00,5700.0,8.05,7.2,7.7,-3.8499994,-32.352936,70.0,150,0.22715006256103515,False,REGULAR,USD
SPXW250929P05800000,2025-08-19 13:54:01+00:00,5800.0,12.63,9.1,9.8,0.0,0.0,1.0,31,0.21139552040100093,False,REGULAR,USD
SPXW250929P05900000,2025-08-22 14:40:36+00:00,5900.0,12.88,11.9,12.7,-14.79,-53.45139,14.0,11,0.19567912483215333,False,REGULAR,USD
SPXW250929P05950000,2025-08-22 14:37:41+00:00,5950.0,15.27,13.8,14.6,-16.73,-52.28125,22.0,63,0.18794299613952634,False,REGULAR,USD
SPXW250929P05975000,2025-08-22 15:35:19+00:00,5975.0,15.5,14.9,15.7,-16.52,-51.592754,1.0,9,0.18412070770263672,False,REGULAR,USD
SPXW250929P06000000,2025-08-21 17:22:19+00:00,6000.0,17.39,16.1,16.9,-17.029999,-49.477047,101.0,22,0.18027934597015383,False,REGULAR,USD
SPXW250929P06025000,2025-08-22 16:10:02+00:00,6025.0,17.8,17.4,18.2,-15.860001,-47.118244,19.0,8,0.1763922083282471,False,REGULAR,USD
SPXW250929P06050000,2025-08-21 19:03:42+00:00,6050.0,35.39,18.8,19.7,0.0,0.0,2.0,20,0.17268435966491702,False,REGULAR,USD
SPXW250929P06075000,2025-08-19 17:51:03+00:00,6075.0,32.4,20.4,21.3,0.0,0.0,2.0,19,0.16884681259155276,False,REGULAR,USD
SPXW250929P06100000,2025-08-22 15:39:46+00:00,6100.0,23.18,22.1,23.0,-13.889999,-37.46965,2.0,19,0.16486049381256107,False,REGULAR,USD
SPXW250929P06125000,2025-08-22 20:00:10+00:00,6125.0,24.53,24.0,24.9,-26.67,-52.08984,6.0,22,0.1609199509429932,False,REGULAR,USD
SPXW250929P06150000,2025-08-22 20:00:10+00:00,6150.0,26.63,26.0,27.0,-23.15,-46.50462,1.0,17,0.15697177875518803,False,REGULAR,USD
SPXW250929P06175000,2025-08-22 18:52:07+00:00,6175.0,29.26,28.3,29.3,-24.56,-45.633595,4.0,35,0.15296257202148442,False,REGULAR,USD
