contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPXW250929C06100000,2025-08-21 15:10:42+00:00,6100.0,343.07,396.8,424.8,0.0,0.0,4.0,8,0.23091894577026367,True,REGULAR,USD
SPXW250929C06150000,2025-08-21 15:10:42+00:00,6150.0,299.09,352.0,378.1,0.0,0.0,2.0,8,0.21689625885009767,True,REGULAR,USD
SPXW250929C06200000,2025-08-21 16:57:47+00:00,6200.0,249.05,308.0,333.7,0.0,0.0,1.0,4,0.2054446521759033,True,REGULAR,USD
SPXW250929C06250000,2025-08-20 19:05:34+00:00,6250.0,220.53,271.2,280.9,0.0,0.0,4.0,4,0.18057307472229003,True,REGULAR,USD
SPXW250929C06350000,2025-08-22 19:59:57+00:00,6350.0,190.06,187.7,196.6,51.84999,37.515366,37.0,38,0.15738757659912112,True,REGULAR,USD
SPXW250929C06375000,2025-08-21 18:39:46+00:00,6375.0,123.39,172.2,173.7,0.0,0.0,116.0,88,0.1479214999961853,True,REGULAR,USD
SPXW250929C06400000,2025-08-22 19:51:47+00:00,6400.0,151.95,153.1,154.6,45.6,42.87729,17.0,46,0.14262675313949585,True,REGULAR,USD
SPXW250929C06425000,2025-08-21 17:03:52+00:00,6425.0,88.69,134.7,136.2,0.0,0.0,17.0,74,0.13738541151046754,True,REGULAR,USD
SPXW250929C06450000,2025-08-22 15:10:51+00:00,6450.0,119.29,117.2,118.7,42.68,55.710747,4.0,76,0.13232908084869388,True,REGULAR,USD
SPXW250929C06475000,2025-08-22 19:51:47+00:00,6475.0,100.13,100.8,102.3,34.03,51.4826,1.0,35,0.127581737575531,False,REGULAR,USD
SPXW250929C06500000,2025-08-22 20:05:01+00:00,6500.0,85.42,85.6,87.1,32.03,59.992504,36.0,68,0.12314719635009766,False,REGULAR,USD
SPXW250929C06525000,2025-08-21 19:33:14+00:00,6525.0,73.04,71.8,73.1,28.84,65.24887,4.0,29,0.1189167393875122,False,REGULAR,USD
SPXW250929C06550000,2025-08-22 20:05:01+00:00,6550.0,59.31,59.4,60.7,23.45,65.393196,37.0,98,0.11529662788391115,False,REGULAR,USD
SPXW250929C06575000,2025-08-21 17:35:37+00:00,6575.0,50.55,48.5,49.9,22.24,78.558815,1.0,16,0.11226206655502316,False,REGULAR,USD
SPXW250929C06600000,2025-08-22 19:33:56+00:00,6600.0,39.4,39.1,40.3,16.800001,74.33628,29.0,167,0.10928472511291504,False,REGULAR,USD
SPXW250929C06625000,2025-08-21 19:54:19+00:00,6625.0,32.73,31.1,32.2,15.029999,84.915245,2.0,108,0.10680901134490968,False,REGULAR,USD
SPXW250929C06650000,2025-08-21 18:08:57+00:00,6650.0,23.4,24.4,25.4,9.129999,63.98037,1.0,74,0.10465754360198974,False,REGULAR,USD
SPXW250929C06675000,2025-08-21 19:40:12+00:00,6675.0,20.92,18.9,19.9,10.56,101.93051,3.0,91,0.10301724018096924,False,REGULAR,USD
SPXW250929C06700000,2025-08-22 18:10:05+00:00,6700.0,16.27,14.5,15.4,8.42,107.26115,5.0,69,0.1015867430114746,False,REGULAR,USD
SPXW250929C06725000,2025-08-22 17:46:41+00:00,6725.0,13.21,11.0,11.8,6.57,98.94579,21.0,50,0.10040801334381103,False,REGULAR,USD
SPXW250929C06800000,2025-08-22 14:25:14+00:00,6800.0,5.61,4.5,5.2,2.72,94.117645,2.0,34,0.09876389526367188,False,REGULAR,USD
SPXW250929C06900000,2025-08-22 13:30:06+00:00,6900.0,1.95,1.55,1.95,0.85,77.27273,19.0,81,0.10138838073730468,False,REGULAR,USD
SPXW250929C07000000,2025-08-22 16:25:45+00:00,7000.0,0.95,0.65,1.05,0.3,46.15385,10.0,53,0.10978063079833984,False,REGULAR,USD
SPXW250929C07100000,2025-08-18 14:27:36+00:00,7100.0,0.86,0.35,0.75,0.0,0.0,40.0,43,0.12125512542724609,False,REGULAR,USD
SPXW250929C07800000,2025-08-14 15:55:58+00:00,7800.0,0.18,0.0,0.25,0.0,0.0,,4,0.2004474487304687,False,REGULAR,USD
