contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPXW250902P02600000,2025-08-07 13:30:06+00:00,2600.0,0.05,0.0,0.1,0.0,0.0,1.0,52,1.48047134765625,False,REGULAR,USD
SPXW250902P02800000,2025-08-07 17:35:07+00:00,2800.0,0.1,0.0,0.1,0.0,0.0,,5,1.36328443359375,False,REGULAR,USD
SPXW250902P03000000,2025-08-07 14:38:46+00:00,3000.0,0.1,0.0,0.1,0.0,0.0,,11,1.25390998046875,False,REGULAR,USD
SPXW250902P03200000,2025-08-07 19:59:07+00:00,3200.0,0.2,0.0,0.1,0.0,0.0,,68,1.15234798828125,False,REGULAR,USD
SPXW250902P03400000,2025-08-05 15:24:32+00:00,3400.0,0.4,0.0,0.1,0.0,0.0,1.0,14,1.05859845703125,False,REGULAR,USD
SPXW250902P03600000,2025-08-20 13:51:51+00:00,3600.0,0.05,0.0,0.1,0.0,0.0,2.0,21,0.9687503125,False,REGULAR,USD
SPXW250902P03800000,2025-08-19 18:24:57+00:00,3800.0,0.05,0.0,0.1,0.0,0.0,1.0,136,0.8828136718749999,False,REGULAR,USD
SPXW250902P04000000,2025-08-21 15:11:37+00:00,4000.0,0.05,0.0,0.1,-0.05,-50.0,1.0,242,0.8007832421875,False,REGULAR,USD
SPXW250902P04200000,2025-08-22 16:18:13+00:00,4200.0,0.05,0.0,0.15,-0.10000001,-66.66667,50.0,888,0.7460962890625,False,REGULAR,USD
SPXW250902P04400000,2025-08-22 17:16:07+00:00,4400.0,0.05,0.0,0.15,-0.10000001,-66.66667,2.0,192,0.6699251757812501,False,REGULAR,USD
SPXW250902P04600000,2025-08-22 18:53:37+00:00,4600.0,0.05,0.0,0.15,-0.17,-77.27273,4.0,788,0.596683720703125,False,REGULAR,USD
SPXW250902P04800000,2025-08-22 19:48:04+00:00,4800.0,0.1,0.0,0.15,-0.3,-75.0,38.0,1004,0.526371923828125,False,REGULAR,USD
SPXW250902P05000000,2025-08-22 18:21:44+00:00,5000.0,0.2,0.0,0.2,-0.3,-60.000004,16.0,1183,0.49707534179687507,False,REGULAR,USD
SPXW250902P05100000,2025-08-22 19:47:32+00:00,5100.0,0.15,0.05,0.2,-0.54999995,-78.57142,28.0,852,0.46143116699218756,False,REGULAR,USD
SPXW250902P05200000,2025-08-22 20:08:32+00:00,5200.0,0.16,0.05,0.25,-0.59000003,-78.66667,75.0,1251,0.43555251953125,False,REGULAR,USD
SPXW250902P05300000,2025-08-22 19:48:25+00:00,5300.0,0.2,0.1,0.3,-0.7,-77.77778,14.0,11187,0.407232490234375,False,REGULAR,USD
SPXW250902P05375000,2025-08-22 19:41:37+00:00,5375.0,0.3,0.15,0.35,-0.65,-68.42105,1.0,285,0.38672488281249995,False,REGULAR,USD
SPXW250902P05400000,2025-08-22 19:31:09+00:00,5400.0,0.33,0.15,0.4,-0.66999996,-66.99999,182.0,214,0.38294074096679687,False,REGULAR,USD
SPXW250902P05425000,2025-08-22 11:01:31+00:00,5425.0,0.92,0.15,0.4,-0.43,-31.851852,3.0,50,0.37402969726562496,False,REGULAR,USD
SPXW250902P05450000,2025-08-22 19:42:07+00:00,5450.0,0.35,0.2,0.4,-0.75,-68.181816,5.0,82,0.36511865356445317,False,REGULAR,USD
SPXW250902P05475000,2025-08-22 17:46:01+00:00,5475.0,0.45,0.2,0.45,-0.7,-60.869564,20.0,95,0.3606020971679687,False,REGULAR,USD
SPXW250902P05500000,2025-08-22 18:06:27+00:00,5500.0,0.45,0.2,0.45,-0.76000005,-62.80992,40.0,2659,0.35169105346679685,False,REGULAR,USD
SPXW250902P05525000,2025-08-21 15:42:59+00:00,5525.0,1.25,0.25,0.45,0.0,0.0,32.0,182,0.34278000976562495,False,REGULAR,USD
SPXW250902P05550000,2025-08-21 19:01:23+00:00,5550.0,1.3,0.25,0.5,0.0,0.0,30.0,79,0.33765310791015624,False,REGULAR,USD
SPXW250902P05575000,2025-08-22 17:17:15+00:00,5575.0,0.5,0.25,0.55,-0.9,-64.28571,6.0,10,0.3321599987792969,False,REGULAR,USD
SPXW250902P05600000,2025-08-21 19:01:23+00:00,5600.0,1.45,0.3,0.5,0.0,0.0,40.0,1572,0.3198310205078124,False,REGULAR,USD
SPXW250902P05625000,2025-08-21 16:11:53+00:00,5625.0,1.74,0.3,0.55,0.0,0.0,300.0,116,0.31409377319335935,False,REGULAR,USD
SPXW250902P05650000,2025-08-22 19:29:43+00:00,5650.0,0.55,0.35,0.6,-1.1700001,-68.02326,301.0,450,0.30811238769531246,False,REGULAR,USD
