contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPXW250912P02600000,2025-08-20 13:52:34+00:00,2600.0,0.05,0.0,0.15,0.0,0.0,1.0,204,1.0996138769531252,False,REGULAR,USD
SPXW250912P02800000,2025-08-11 13:30:03+00:00,2800.0,0.15,0.0,0.15,0.0,0.0,1.0,2,1.013676806640625,False,REGULAR,USD
SPXW250912P03000000,2025-08-20 13:54:30+00:00,3000.0,0.1,0.0,0.15,0.0,0.0,4.0,8,0.9335944140625,False,REGULAR,USD
SPXW250912P03200000,2025-08-22 17:16:07+00:00,3200.0,0.05,0.0,0.15,-0.10000001,-66.66667,6.0,166,0.85742330078125,False,REGULAR,USD
SPXW250912P03400000,2025-08-18 13:54:18+00:00,3400.0,0.25,0.0,0.15,0.0,0.0,4.0,143,0.78711150390625,False,REGULAR,USD
SPXW250912P03600000,2025-08-18 18:40:55+00:00,3600.0,0.2,0.05,0.15,0.0,0.0,4.0,137,0.735354208984375,False,REGULAR,USD
SPXW250912P03800000,2025-08-20 15:59:37+00:00,3800.0,0.3,0.05,0.2,0.0,0.0,19.0,145,0.6826203613281252,False,REGULAR,USD
SPXW250912P04000000,2025-08-22 19:07:52+00:00,4000.0,0.2,0.05,0.25,-0.14999999,-42.85714,11.0,742,0.6289099609375001,False,REGULAR,USD
SPXW250912P04200000,2025-08-22 18:30:18+00:00,4200.0,0.28,0.1,0.35,-0.22,-44.0,23.0,310,0.58789474609375,False,REGULAR,USD
SPXW250912P04400000,2025-08-22 18:58:34+00:00,4400.0,0.37,0.2,0.45,-0.27999997,-43.07692,80.0,722,0.5454147021484376,False,REGULAR,USD
SPXW250912P04600000,2025-08-22 20:10:13+00:00,4600.0,0.53,0.4,0.6,-0.45000005,-45.918373,327.0,407,0.506840869140625,False,REGULAR,USD
SPXW250912P04700000,2025-08-22 18:22:48+00:00,4700.0,0.65,0.45,0.7,-0.46000004,-41.441444,198.0,1501,0.4935353381347657,False,REGULAR,USD
SPXW250912P04800000,2025-08-22 19:07:52+00:00,4800.0,0.7,0.6,0.85,-0.65000004,-48.148148,377.0,287,0.4731497998046875,False,REGULAR,USD
SPXW250912P04900000,2025-08-22 19:42:31+00:00,4900.0,0.95,0.7,0.95,-0.56,-37.086094,33.0,2874,0.44873598144531246,False,REGULAR,USD
SPXW250912P05000000,2025-08-22 20:07:31+00:00,5000.0,1.0,0.8,1.1,-0.75,-42.857143,132.0,8680,0.4259700958251954,False,REGULAR,USD
SPXW250912P05050000,2025-08-22 19:29:43+00:00,5050.0,1.1,0.9,1.15,-0.79999995,-42.10526,3.0,246,0.41321387573242185,False,REGULAR,USD
SPXW250912P05100000,2025-08-22 19:31:14+00:00,5100.0,1.3,1.0,1.25,-0.79999995,-38.095238,104.0,483,0.4022276574707031,False,REGULAR,USD
SPXW250912P05150000,2025-08-22 18:58:34+00:00,5150.0,1.3,1.1,1.35,-1.0,-43.478264,11.0,330,0.3909362664794922,False,REGULAR,USD
