contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPXW250917C06200000,2025-08-19 17:19:41+00:00,6200.0,257.55,286.8,310.8,0.0,0.0,4.0,4,0.20499833705902093,True,REGULAR,USD
SPXW250917C06250000,2025-08-19 17:19:41+00:00,6250.0,215.29,242.6,265.8,0.0,0.0,4.0,4,0.1911892710494995,True,REGULAR,USD
SPXW250917C06275000,2025-08-20 15:15:51+00:00,6275.0,166.34,220.8,243.8,0.0,0.0,1.0,20,0.18443350975036618,True,REGULAR,USD
SPXW250917C06300000,2025-08-20 16:57:36+00:00,6300.0,153.8,206.4,216.3,0.0,0.0,1.0,27,0.16757653110504156,True,REGULAR,USD
SPXW250917C06325000,2025-08-21 19:58:27+00:00,6325.0,189.71,185.4,195.0,59.130005,45.28259,1.0,43,0.16113738651275633,True,REGULAR,USD
SPXW250917C06350000,2025-08-22 14:01:59+00:00,6350.0,161.17,164.7,173.9,46.47,40.51439,3.0,14,0.15425574146270754,True,REGULAR,USD
SPXW250917C06360000,2025-08-22 19:35:13+00:00,6360.0,159.93,156.6,165.8,50.219994,45.77522,34.0,35,0.15181817428588867,True,REGULAR,USD
SPXW250917C06375000,2025-08-22 13:58:52+00:00,6375.0,111.15,148.9,150.4,12.849998,13.072226,1.0,66,0.14278124683380128,True,REGULAR,USD
SPXW250917C06380000,2025-08-22 17:52:32+00:00,6380.0,152.48,145.1,146.4,54.879997,56.229507,2.0,11,0.1414995213699341,True,REGULAR,USD
SPXW250917C06390000,2025-08-21 18:26:16+00:00,6390.0,91.9,137.4,138.7,0.0,0.0,2.0,106,0.13927176044464118,True,REGULAR,USD
SPXW250917C06400000,2025-08-22 17:48:37+00:00,6400.0,137.87,129.8,131.1,52.6,61.68641,4.0,65,0.1370096675872803,True,REGULAR,USD
SPXW250917C06410000,2025-08-22 20:12:50+00:00,6410.0,122.83,122.3,123.7,45.0,57.818325,5.0,13,0.1348581998443604,True,REGULAR,USD
SPXW250917C06420000,2025-08-15 14:11:00+00:00,6420.0,125.81,115.0,116.4,0.0,0.0,,21,0.13264951221466065,True,REGULAR,USD
SPXW250917C06425000,2025-08-21 20:07:27+00:00,6425.0,69.61,111.4,112.8,0.0,0.0,2.0,48,0.1315394464111328,True,REGULAR,USD
SPXW250917C06430000,2025-08-22 17:48:37+00:00,6430.0,115.57,107.9,109.2,40.0,52.931057,6.0,17,0.13037597537994383,True,REGULAR,USD
SPXW250917C06440000,2025-08-22 20:13:36+00:00,6440.0,101.86,100.9,102.3,41.06,67.5329,30.0,47,0.12831796678543086,True,REGULAR,USD
SPXW250917C06450000,2025-08-22 17:24:33+00:00,6450.0,100.13,94.3,95.6,45.03,81.72414,4.0,78,0.12631527074813842,True,REGULAR,USD
SPXW250917C06460000,2025-08-22 17:55:27+00:00,6460.0,94.94,87.8,89.0,42.840004,82.226494,11.0,544,0.12420957891464235,True,REGULAR,USD
SPXW250917C06470000,2025-08-22 17:25:44+00:00,6470.0,88.04,81.5,82.7,37.260002,73.37535,24.0,28,0.12227745407104493,False,REGULAR,USD
SPXW250917C06475000,2025-08-22 17:55:27+00:00,6475.0,85.31,78.4,79.6,40.51,90.4241,20.0,83,0.12128182804107665,False,REGULAR,USD
SPXW250917C06480000,2025-08-22 16:09:26+00:00,6480.0,79.72,75.4,76.6,23.16,40.947662,12.0,30,0.12036249519348144,False,REGULAR,USD
SPXW250917C06490000,2025-08-22 14:56:20+00:00,6490.0,75.37,69.6,70.8,33.24,78.89865,40.0,133,0.11860012268066406,False,REGULAR,USD
SPXW250917C06500000,2025-08-22 19:40:18+00:00,6500.0,60.82,64.0,65.2,23.91,64.77919,44.0,97,0.11683012084960936,False,REGULAR,USD
SPXW250917C06510000,2025-08-22 19:40:18+00:00,6510.0,55.79,59.0,59.8,16.55,42.17635,198.0,31,0.11504104572296144,False,REGULAR,USD
SPXW250917C06520000,2025-08-22 18:26:40+00:00,6520.0,56.67,53.6,54.8,26.46,87.58689,43.0,28,0.11352281139373778,False,REGULAR,USD
SPXW250917C06525000,2025-08-22 18:59:45+00:00,6525.0,53.4,51.1,52.3,20.080002,60.26411,7.0,190,0.11264162513732909,False,REGULAR,USD
SPXW250917C06530000,2025-08-22 17:34:39+00:00,6530.0,53.3,48.9,50.0,25.22,89.81481,18.0,130,0.11197405979156493,False,REGULAR,USD
SPXW250917C06550000,2025-08-22 18:13:50+00:00,6550.0,43.3,40.2,41.4,22.5,108.17308,27.0,804,0.10937818426132201,False,REGULAR,USD
SPXW250917C06575000,2025-08-22 19:38:29+00:00,6575.0,30.23,31.1,31.8,14.73,95.03226,23.0,1067,0.10592019577026365,False,REGULAR,USD
SPXW250917C06600000,2025-08-22 17:27:14+00:00,6600.0,26.6,23.5,24.1,14.46,119.11038,34.0,1053,0.10331478359222411,False,REGULAR,USD
SPXW250917C06625000,2025-08-22 19:38:29+00:00,6625.0,16.84,17.0,18.0,8.08,92.237434,8.0,157,0.10130064357757566,False,REGULAR,USD
SPXW250917C06650000,2025-08-22 14:58:13+00:00,6650.0,14.59,12.3,13.2,8.77,150.68729,21.0,256,0.09961837890625,False,REGULAR,USD
SPXW250917C06675000,2025-08-22 14:40:19+00:00,6675.0,9.62,8.7,9.5,5.22,118.63636,42.0,132,0.09819932571411133,False,REGULAR,USD
SPXW250917C06700000,2025-08-22 18:03:38+00:00,6700.0,7.41,6.0,6.7,4.31,139.03226,2.0,70,0.09696337615966799,False,REGULAR,USD
SPXW250917C06725000,2025-08-22 15:45:50+00:00,6725.0,5.59,4.1,4.8,3.5900002,179.5,2.0,23,0.09665820343017578,False,REGULAR,USD
SPXW250917C06800000,2025-08-21 15:12:45+00:00,6800.0,1.78,1.35,1.85,0.88,97.77778,1.0,43,0.09826036026000975,False,REGULAR,USD
SPXW250917C06825000,2025-08-22 18:29:28+00:00,6825.0,1.32,1.0,1.45,0.57000005,76.00001,3.0,13,0.10021346572875975,False,REGULAR,USD
SPXW250917C06900000,2025-08-21 13:34:14+00:00,6900.0,0.4,0.45,0.85,0.0,0.0,2.0,5,0.1085599398803711,False,REGULAR,USD
SPXW250917C07000000,2025-08-22 14:10:45+00:00,7000.0,0.45,0.15,0.5,0.19999999,79.99999,1.0,27,0.1209194354248047,False,REGULAR,USD
SPXW250917C08200000,2025-08-19 14:45:03+00:00,8200.0,0.05,,0.15,0.0,0.0,1.0,2,0.28711650390624993,False,REGULAR,USD
