contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPXW250917P02600000,2025-08-13 15:42:27+00:00,2600.0,0.15,,0.15,0.0,0.0,,1,1.0380907470703127,False,REGULAR,USD
SPXW250917P02800000,2025-08-18 14:32:57+00:00,2800.0,0.1,0.0,0.15,0.0,0.0,1.0,11,0.9101571484375,False,REGULAR,USD
SPXW250917P03000000,2025-08-19 16:39:16+00:00,3000.0,0.1,0.0,0.15,0.0,0.0,3.0,63,0.8378922460937499,False,REGULAR,USD
SPXW250917P04000000,2025-08-20 19:09:25+00:00,4000.0,0.45,0.15,0.4,0.0,0.0,2.0,4,0.5937540625000001,False,REGULAR,USD
SPXW250917P04400000,2025-08-21 19:04:31+00:00,4400.0,1.0,0.4,0.7,0.0,0.0,22.0,23,0.514653291015625,False,REGULAR,USD
SPXW250917P04600000,2025-08-21 19:34:09+00:00,4600.0,1.3,0.6,0.85,0.0,0.0,6.0,755,0.4803518762207031,False,REGULAR,USD
SPXW250917P04800000,2025-08-21 16:36:27+00:00,4800.0,1.9,0.85,1.2,0.0,0.0,1.0,21,0.44159493957519536,False,REGULAR,USD
SPXW250917P05000000,2025-08-22 14:55:10+00:00,5000.0,1.57,1.2,1.55,-0.83000004,-34.583332,6.0,43,0.398443515625,False,REGULAR,USD
SPXW250917P05300000,2025-08-19 14:08:26+00:00,5300.0,2.25,2.0,2.35,-0.95000005,-29.6875,27.0,27,0.3345098287963867,False,REGULAR,USD
SPXW250917P05400000,2025-08-22 19:54:18+00:00,5400.0,2.65,2.35,2.7,-1.6500001,-38.372093,37.0,94,0.3128120477294921,False,REGULAR,USD
SPXW250917P05500000,2025-08-22 19:54:10+00:00,5500.0,3.1,2.75,3.1,-1.8000002,-36.734695,63.0,12,0.29074805938720694,False,REGULAR,USD
SPXW250917P05600000,2025-08-22 19:55:08+00:00,5600.0,3.5,3.2,3.6,-2.6599998,-43.181816,13.0,9,0.26877562286376955,False,REGULAR,USD
SPXW250917P05700000,2025-08-21 19:23:51+00:00,5700.0,4.2,3.9,4.3,-3.2000003,-43.243248,25.0,74,0.2474440490722656,False,REGULAR,USD
SPXW250917P05725000,2025-08-22 00:34:51+00:00,5725.0,7.9,4.1,4.5,-1.2999997,-14.130431,15.0,74,0.2420577503967285,False,REGULAR,USD
SPXW250917P05750000,2025-08-22 18:43:40+00:00,5750.0,4.6,4.3,4.7,-4.7000003,-50.537636,13.0,109,0.2365341239929199,False,REGULAR,USD
SPXW250917P05800000,2025-08-22 18:54:48+00:00,5800.0,5.1,4.8,5.2,-4.0000005,-43.956047,38.0,506,0.2259141130065918,False,REGULAR,USD
SPXW250917P05875000,2025-08-22 19:54:59+00:00,5875.0,6.1,5.8,6.3,-6.1,-50.0,14.0,40,0.2111742701721191,False,REGULAR,USD
SPXW250917P05900000,2025-08-22 19:05:47+00:00,5900.0,6.7,6.2,6.7,-5.8,-46.4,15.0,42,0.20601685104370115,False,REGULAR,USD
SPXW250917P05925000,2025-08-22 10:16:45+00:00,5925.0,7.0,6.7,7.2,-8.28,-54.188477,66.0,77,0.20122563919067382,False,REGULAR,USD
SPXW250917P05950000,2025-08-22 19:38:29+00:00,5950.0,8.1,7.2,7.7,-7.8999996,-49.374996,12.0,33,0.1961521425628662,False,REGULAR,USD
SPXW250917P05975000,2025-08-21 19:50:16+00:00,5975.0,18.7,7.8,8.4,0.0,0.0,28.0,114,0.19182631912231446,False,REGULAR,USD
SPXW250917P06000000,2025-08-22 19:38:29+00:00,6000.0,9.51,8.5,9.0,-10.789999,-53.152702,1639.0,1640,0.18665364135742188,False,REGULAR,USD
SPXW250917P06025000,2025-08-22 14:19:26+00:00,6025.0,11.73,9.2,10.0,-10.67,-47.63393,1.0,111,0.18293053405761717,False,REGULAR,USD
SPXW250917P06050000,2025-08-21 19:12:45+00:00,6050.0,11.2,10.2,10.9,-11.7,-51.0917,1.0,83,0.17829953788757327,False,REGULAR,USD
SPXW250917P06075000,2025-08-21 13:45:27+00:00,6075.0,27.45,11.2,12.0,0.0,0.0,11.0,119,0.174011861038208,False,REGULAR,USD
SPXW250917P06100000,2025-08-21 17:49:29+00:00,6100.0,15.0,12.4,13.2,-14.030001,-48.329315,20.0,110,0.16958685646057128,False,REGULAR,USD
SPXW250917P06125000,2025-08-21 18:24:56+00:00,6125.0,15.8,13.8,14.6,-16.05,-50.39246,1.0,289,0.16530680892944338,False,REGULAR,USD
SPXW250917P06150000,2025-08-21 14:41:31+00:00,6150.0,33.8,15.5,16.1,0.0,0.0,7.0,871,0.1607749938964844,False,REGULAR,USD
SPXW250917P06175000,2025-08-22 16:44:28+00:00,6175.0,18.23,17.2,18.0,-20.510002,-52.9427,6.0,379,0.15678486045837406,False,REGULAR,USD
SPXW250917P06200000,2025-08-22 18:26:40+00:00,6200.0,20.24,19.2,20.0,-18.76,-48.102562,15.0,134,0.1523789291763306,False,REGULAR,USD
SPXW250917P06225000,2025-08-20 19:57:03+00:00,6225.0,22.58,21.4,22.3,-17.69,-43.928482,3.0,29,0.14801877380371098,False,REGULAR,USD
SPXW250917P06250000,2025-08-22 16:48:20+00:00,6250.0,26.15,23.9,24.9,-22.590002,-46.347973,4.0,39,0.1435937692260742,False,REGULAR,USD
SPXW250917P06275000,2025-08-22 20:01:04+00:00,6275.0,27.9,26.8,27.8,-28.6,-50.619473,8.0,39,0.13900473430633548,False,REGULAR,USD
SPXW250917P06300000,2025-08-22 14:39:08+00:00,6300.0,34.34,30.1,31.1,-32.359997,-48.51574,6.0,51,0.1343508501815796,False,REGULAR,USD
SPXW250917P06325000,2025-08-22 16:19:42+00:00,6325.0,34.1,33.8,34.8,-38.11,-52.776623,5.0,136,0.12951767707824707,False,REGULAR,USD
SPXW250917P06340000,2025-08-21 20:07:27+00:00,6340.0,76.74,36.2,37.3,0.0,0.0,18.0,32,0.12663379478454587,False,REGULAR,USD
SPXW250917P06350000,2025-08-22 14:00:09+00:00,6350.0,56.89,38.0,39.1,-14.830002,-20.677639,2.0,33,0.12472265056610106,False,REGULAR,USD
SPXW250917P06360000,2025-08-22 19:35:13+00:00,6360.0,42.39,39.9,41.0,-40.21,-48.680386,24.0,13,0.12279624771118164,False,REGULAR,USD
SPXW250917P06370000,2025-08-22 19:36:16+00:00,6370.0,45.07,41.9,43.0,-38.83,-46.28129,6.0,11,0.12084504957199096,False,REGULAR,USD
SPXW250917P06375000,2025-08-22 16:13:45+00:00,6375.0,46.0,42.9,44.0,-40.5,-46.820812,7.0,30,0.11979411098480224,False,REGULAR,USD
SPXW250917P06380000,2025-08-22 19:36:16+00:00,6380.0,47.27,44.0,45.1,-34.76,-42.37474,14.0,27,0.11885570484161374,False,REGULAR,USD
SPXW250917P06400000,2025-08-22 18:22:53+00:00,6400.0,50.4,48.6,49.7,-40.9,-44.79737,5.0,28,0.11487701538085937,False,REGULAR,USD
SPXW250917P06410000,2025-08-22 16:12:51+00:00,6410.0,53.6,51.1,52.2,-50.739998,-48.629482,19.0,48,0.11285906070709228,False,REGULAR,USD
SPXW250917P06420000,2025-08-22 19:48:21+00:00,6420.0,54.5,53.8,54.9,-30.599998,-35.9577,106.0,26,0.11090214057922362,False,REGULAR,USD
SPXW250917P06425000,2025-08-21 16:26:23+00:00,6425.0,111.16,55.2,56.3,0.0,0.0,1.0,131,0.10990460721969603,False,REGULAR,USD
SPXW250917P06430000,2025-08-22 18:07:26+00:00,6430.0,58.1,56.5,57.8,-34.300003,-37.121216,8.0,25,0.1089909963607788,False,REGULAR,USD
SPXW250917P06440000,2025-08-22 19:44:25+00:00,6440.0,63.2,59.5,60.8,-45.3,-41.751152,16.0,65,0.10695969038009642,False,REGULAR,USD
