contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPXW250916P03000000,2025-08-15 14:08:46+00:00,3000.0,0.1,0.0,0.15,0.0,0.0,,75,0.8554701953125,False,REGULAR,USD
SPXW250916P03400000,2025-08-20 13:42:34+00:00,3400.0,0.15,0.0,0.2,0.0,0.0,25.0,26,0.73633076171875,False,REGULAR,USD
SPXW250916P04000000,2025-08-20 13:56:13+00:00,4000.0,0.65,0.1,0.4,0.0,0.0,6.0,18,0.6005899316406251,False,REGULAR,USD
SPXW250916P04400000,2025-08-22 20:07:53+00:00,4400.0,0.45,0.3,0.55,-0.45,-50.0,102.0,80,0.5122119091796875,False,REGULAR,USD
SPXW250916P04600000,2025-08-22 20:14:47+00:00,4600.0,0.6,0.5,0.7,-0.65,-52.0,110.0,662,0.4802298071289062,False,REGULAR,USD
SPXW250916P04800000,2025-08-21 17:45:04+00:00,4800.0,1.6,0.7,0.95,0.0,0.0,129.0,325,0.4389094195556641,False,REGULAR,USD
SPXW250916P05000000,2025-08-22 11:08:00+00:00,5000.0,1.85,1.05,1.3,-0.30000007,-13.95349,10.0,258,0.3979552392578125,False,REGULAR,USD
SPXW250916P05100000,2025-08-22 19:30:17+00:00,5100.0,1.5,1.25,1.5,-1.0,-40.0,20.0,147,0.3767152172851562,False,REGULAR,USD
SPXW250916P05200000,2025-08-22 19:30:17+00:00,5200.0,1.75,1.45,1.75,-1.1500001,-39.655174,20.0,144,0.35587191986083977,False,REGULAR,USD
SPXW250916P05300000,2025-08-22 19:54:14+00:00,5300.0,2.0,1.7,2.05,-1.3,-39.393936,87.0,623,0.334967587890625,False,REGULAR,USD
SPXW250916P05400000,2025-08-22 19:55:01+00:00,5400.0,2.35,2.05,2.35,-1.5500002,-39.743595,49.0,176,0.31287308227539057,False,REGULAR,USD
