contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPXW250828C02600000,2025-08-19 15:25:16+00:00,2600.0,3827.6,0.0,0.0,0.0,0.0,2.0,3,1.0000000000000003e-05,True,REGULAR,USD
SPXW250828C04600000,2025-07-28 14:13:30+00:00,4600.0,1809.96,0.0,0.0,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD
SPXW250828C05000000,2025-08-15 13:36:55+00:00,5000.0,1476.25,1469.4,1470.9,0.0,0.0,5.0,60,0.9115609429931641,True,REGULAR,USD
SPXW250828C05550000,2025-07-28 17:51:48+00:00,5550.0,855.61,0.0,0.0,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD
SPXW250828C05600000,2025-07-28 17:51:48+00:00,5600.0,806.36,0.0,0.0,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD
SPXW250828C05900000,2025-08-13 16:52:06+00:00,5900.0,557.19,0.0,0.0,0.0,0.0,2.0,2,1.0000000000000003e-05,True,REGULAR,USD
SPXW250828C05950000,2025-08-13 16:52:06+00:00,5950.0,507.53,0.0,0.0,0.0,0.0,2.0,2,1.0000000000000003e-05,True,REGULAR,USD
SPXW250828C06000000,2025-08-21 19:58:53+00:00,6000.0,372.7,0.0,0.0,0.0,0.0,4.0,2,1.0000000000000003e-05,True,REGULAR,USD
SPXW250828C06025000,2025-08-11 16:58:09+00:00,6025.0,384.64,0.0,0.0,0.0,0.0,,3,1.0000000000000003e-05,True,REGULAR,USD
SPXW250828C06040000,2025-08-08 14:41:05+00:00,6040.0,367.53,0.0,0.0,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD
SPXW250828C06050000,2025-08-11 16:58:09+00:00,6050.0,360.76,0.0,0.0,0.0,0.0,3.0,3,1.0000000000000003e-05,True,REGULAR,USD
SPXW250828C06060000,2025-08-15 19:51:47+00:00,6060.0,403.25,0.0,0.0,0.0,0.0,,30,1.0000000000000003e-05,True,REGULAR,USD
SPXW250828C06070000,2025-08-15 19:51:47+00:00,6070.0,393.5,0.0,0.0,0.0,0.0,,30,1.0000000000000003e-05,True,REGULAR,USD
SPXW250828C06075000,2025-08-12 17:48:12+00:00,6075.0,378.26,0.0,0.0,0.0,0.0,,2,1.0000000000000003e-05,True,REGULAR,USD
SPXW250828C06100000,2025-08-21 15:22:49+00:00,6100.0,286.1,0.0,0.0,0.0,0.0,2.0,16,1.0000000000000003e-05,True,REGULAR,USD
SPXW250828C06110000,2025-08-20 14:01:09+00:00,6110.0,276.43,0.0,0.0,0.0,0.0,5.0,8,1.0000000000000003e-05,True,REGULAR,USD
SPXW250828C06125000,2025-08-22 20:07:20+00:00,6125.0,345.89,0.0,0.0,9.5,2.8241029,2.0,4,1.0000000000000003e-05,True,REGULAR,USD
SPXW250828C06140000,2025-08-20 15:06:36+00:00,6140.0,228.92,0.0,0.0,0.0,0.0,4.0,10,1.0000000000000003e-05,True,REGULAR,USD
SPXW250828C06160000,2025-08-19 19:03:05+00:00,6160.0,255.08,0.0,0.0,0.0,0.0,15.0,19,1.0000000000000003e-05,True,REGULAR,USD
SPXW250828C06170000,2025-08-11 16:52:44+00:00,6170.0,251.61,0.0,0.0,0.0,0.0,,3,1.0000000000000003e-05,True,REGULAR,USD
SPXW250828C06175000,2025-08-22 19:48:31+00:00,6175.0,292.39,282.6,306.6,86.44002,41.971363,5.0,17,0.3067085931396484,True,REGULAR,USD
SPXW250828C06180000,2025-08-21 19:09:33+00:00,6180.0,211.02,277.7,301.7,0.0,0.0,2.0,4,0.3034890208435058,True,REGULAR,USD
SPXW250828C06190000,2025-08-22 13:48:09+00:00,6190.0,226.0,267.8,291.8,4.1399994,1.8660413,1.0,3,0.2963937548828125,True,REGULAR,USD
SPXW250828C06200000,2025-08-22 19:48:31+00:00,6200.0,267.99,257.8,281.8,78.31,41.285324,6.0,18,0.2886576261901855,True,REGULAR,USD
SPXW250828C06210000,2025-08-21 17:49:18+00:00,6210.0,180.73,247.9,271.9,0.0,0.0,1.0,2,0.28147080841064454,True,REGULAR,USD
SPXW250828C06220000,2025-08-14 18:24:48+00:00,6220.0,259.44,238.1,262.1,0.0,0.0,4.0,5,0.2747875256347656,True,REGULAR,USD
SPXW250828C06225000,2025-08-12 13:45:08+00:00,6225.0,204.2,233.1,257.1,0.0,0.0,4.0,8,0.2708507974243164,True,REGULAR,USD
SPXW250828C06230000,2025-08-06 14:40:38+00:00,6230.0,153.32,228.2,252.2,0.0,0.0,,1,0.26746338012695314,True,REGULAR,USD
SPXW250828C06250000,2025-08-22 15:17:51+00:00,6250.0,229.04,208.5,232.5,91.95999,67.08491,66.0,48,0.2531507791137696,True,REGULAR,USD
SPXW250828C06260000,2025-08-22 15:14:40+00:00,6260.0,215.72,200.2,224.2,50.72,30.739393,1.0,41,0.2538526763916016,True,REGULAR,USD
SPXW250828C06270000,2025-08-15 13:30:03+00:00,6270.0,197.78,193.0,209.0,-25.460007,-11.404769,2.0,12,0.2181169497680664,True,REGULAR,USD
SPXW250828C06275000,2025-08-22 20:07:20+00:00,6275.0,198.08,197.3,198.5,-5.149994,-2.5340717,8.0,94,0.17974147903442383,True,REGULAR,USD
SPXW250828C06280000,2025-08-21 17:09:53+00:00,6280.0,146.1,183.3,199.3,30.40001,26.274857,1.0,6,0.21196771926879882,True,REGULAR,USD
SPXW250828C06290000,2025-08-22 13:57:46+00:00,6290.0,128.61,173.6,189.6,9.120003,7.6324406,13.0,30,0.20567353172302247,True,REGULAR,USD
SPXW250828C06295000,2025-08-22 19:33:15+00:00,6295.0,177.4,168.8,184.8,40.299988,29.39459,2.0,6,0.20272861488342284,True,REGULAR,USD
SPXW250828C06300000,2025-08-22 17:16:19+00:00,6300.0,177.84,173.2,174.3,72.78999,69.2908,9.0,62,0.167275173034668,True,REGULAR,USD
SPXW250828C06310000,2025-08-22 14:46:54+00:00,6310.0,170.2,154.5,170.5,75.25,79.25224,3.0,46,0.1941303732299805,True,REGULAR,USD
SPXW250828C06315000,2025-08-21 13:53:10+00:00,6315.0,91.1,149.8,165.8,0.0,0.0,3.0,8,0.19149062911987308,True,REGULAR,USD
SPXW250828C06320000,2025-08-21 19:42:37+00:00,6320.0,85.65,145.0,161.0,0.0,0.0,1.0,11,0.18829394477844238,True,REGULAR,USD
SPXW250828C06325000,2025-08-22 18:16:35+00:00,6325.0,153.05,149.4,150.6,67.55,79.00585,43.0,148,0.1563652479553223,True,REGULAR,USD
