contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPXW250930P01200000,2025-08-01 15:25:32+00:00,1200.0,0.11,0.0,0.1,0.0,0.0,10.0,25083,1.43359658203125,False,REGULAR,USD
SPXW250930P01400000,2025-08-22 17:06:04+00:00,1400.0,0.05,0.0,0.0,0.0,0.0,10.0,2045,0.500005,False,REGULAR,USD
SPXW250930P01600000,2025-07-24 19:57:57+00:00,1600.0,0.15,0.0,0.0,0.0,0.0,1.0,966,0.500005,False,REGULAR,USD
SPXW250930P01800000,2025-08-15 16:31:08+00:00,1800.0,0.08,0.0,0.0,0.0,0.0,10.0,4429,0.500005,False,REGULAR,USD
SPXW250930P02000000,2025-08-14 14:43:33+00:00,2000.0,0.1,0.0,0.15,0.0,0.0,1.0,8532,1.0312548437500002,False,REGULAR,USD
SPXW250930P02200000,2025-08-20 13:53:44+00:00,2200.0,0.1,0.0,0.2,0.0,0.0,2.0,1278,0.9687503125,False,REGULAR,USD
SPXW250930P02400000,2025-08-07 19:25:24+00:00,2400.0,0.27,0.0,0.2,0.0,0.0,5.0,4574,0.89257919921875,False,REGULAR,USD
SPXW250930P02600000,2025-08-13 18:43:37+00:00,2600.0,0.1,0.0,0.2,-0.1,-50.0,30.0,765,0.823243955078125,False,REGULAR,USD
SPXW250930P02700000,2025-08-19 14:50:33+00:00,2700.0,0.15,0.0,0.2,0.0,0.0,1.0,334,0.790041162109375,False,REGULAR,USD
SPXW250930P02800000,2025-08-20 14:05:20+00:00,2800.0,0.25,0.0,0.2,0.0,0.0,5.0,715,0.7587914746093751,False,REGULAR,USD
SPXW250930P02900000,2025-08-22 17:06:04+00:00,2900.0,0.14,0.0,0.2,-0.049999997,-26.315788,6.0,493,0.72851833984375,False,REGULAR,USD
SPXW250930P03000000,2025-08-22 19:40:42+00:00,3000.0,0.2,0.05,0.25,0.0,0.0,20.0,7647,0.719729365234375,False,REGULAR,USD
SPXW250930P03100000,2025-08-22 13:30:10+00:00,3100.0,0.25,0.05,0.25,-0.15,-37.5,2.0,1028,0.6904327832031252,False,REGULAR,USD
SPXW250930P03200000,2025-08-20 14:07:39+00:00,3200.0,0.2,0.1,0.25,-0.24999999,-55.555553,50.0,1117,0.6699251757812501,False,REGULAR,USD
SPXW250930P03300000,2025-08-22 14:32:23+00:00,3300.0,0.22,0.1,0.25,-0.33,-60.000004,12.0,3235,0.6420934228515626,False,REGULAR,USD
SPXW250930P03400000,2025-08-19 13:37:50+00:00,3400.0,0.3,0.15,0.3,-0.14999998,-33.33333,100.0,634,0.6274451318359376,False,REGULAR,USD
SPXW250930P03500000,2025-08-22 15:31:03+00:00,3500.0,0.3,0.2,0.35,-0.19999999,-39.999996,52.0,7766,0.6103554589843752,False,REGULAR,USD
SPXW250930P03600000,2025-08-20 19:08:27+00:00,3600.0,0.4,0.25,0.4,-0.20000002,-33.333336,5.0,877,0.5922892333984376,False,REGULAR,USD
SPXW250930P03700000,2025-08-22 17:08:02+00:00,3700.0,0.4,0.3,0.45,-0.24999997,-38.461536,22.0,840,0.5732464550781251,False,REGULAR,USD
SPXW250930P03750000,2025-08-22 14:39:47+00:00,3750.0,0.45,0.3,0.55,-0.60999995,-57.54717,4.0,70,0.5666547241210937,False,REGULAR,USD
SPXW250930P03800000,2025-08-22 14:32:23+00:00,3800.0,0.53,0.35,0.55,-0.52,-49.52381,4.0,952,0.5566450585937501,False,REGULAR,USD
SPXW250930P03850000,2025-08-18 19:42:34+00:00,3850.0,0.85,0.35,0.65,0.0,0.0,5.0,50,0.549076774902344,False,REGULAR,USD
SPXW250930P03900000,2025-08-22 13:30:02+00:00,3900.0,0.55,0.4,0.65,-0.45,-45.0,4.0,1375,0.5385788330078126,False,REGULAR,USD
SPXW250930P03950000,2025-08-19 16:04:14+00:00,3950.0,1.0,0.45,0.65,0.0,0.0,5.0,124,0.5283250292968751,False,REGULAR,USD
SPXW250930P04000000,2025-08-22 19:41:11+00:00,4000.0,0.65,0.5,0.75,-0.39999998,-38.095238,20.0,6845,0.5219774365234374,False,REGULAR,USD
SPXW250930P04050000,2025-08-22 19:50:04+00:00,4050.0,0.7,0.55,0.8,-0.45,-39.130436,1.0,275,0.5133105310058592,False,REGULAR,USD
SPXW250930P04075000,2025-08-22 13:34:20+00:00,4075.0,1.0,0.55,0.8,-1.0,-50.0,20.0,124,0.5070850073242188,False,REGULAR,USD
SPXW250930P04100000,2025-08-14 16:11:16+00:00,4100.0,1.46,0.6,0.85,0.0,0.0,1.0,616,0.5042774182128906,False,REGULAR,USD
SPXW250930P04125000,2025-08-22 19:13:32+00:00,4125.0,0.8,0.6,0.85,-0.8,-50.0,21.0,204,0.5059863854980469,False,REGULAR,USD
SPXW250930P04150000,2025-08-21 17:27:00+00:00,4150.0,1.45,0.65,0.9,0.0,0.0,57.0,727,0.5026905200195313,False,REGULAR,USD
SPXW250930P04175000,2025-08-20 18:16:42+00:00,4175.0,1.5,0.65,0.9,0.0,0.0,135.0,187,0.4963429272460938,False,REGULAR,USD
SPXW250930P04200000,2025-08-21 16:27:48+00:00,4200.0,1.5,0.7,0.95,0.0,0.0,2.0,2152,0.49286395812988293,False,REGULAR,USD
SPXW250930P04225000,2025-08-21 16:36:14+00:00,4225.0,1.55,0.7,1.0,0.0,0.0,9.0,88,0.4892629199218751,False,REGULAR,USD
SPXW250930P04250000,2025-08-22 14:14:21+00:00,4250.0,1.07,0.75,1.0,-0.4799999,-30.967735,2.0,1694,0.48303739624023445,False,REGULAR,USD
SPXW250930P04275000,2025-08-21 17:06:26+00:00,4275.0,1.06,0.75,1.1,-0.59000003,-35.757576,1.0,78,0.4815725671386719,False,REGULAR,USD
SPXW250930P04300000,2025-08-22 17:44:10+00:00,4300.0,1.0,0.8,1.05,-0.70000005,-41.17647,10.0,3233,0.4730277307128906,False,REGULAR,USD
SPXW250930P04325000,2025-08-21 16:43:41+00:00,4325.0,1.75,0.85,1.1,0.0,0.0,59.0,153,0.4691825543212891,False,REGULAR,USD
SPXW250930P04350000,2025-08-22 17:41:32+00:00,4350.0,1.0,0.9,1.15,-0.65,-39.393936,11.0,2597,0.46521530883789064,False,REGULAR,USD
SPXW250930P04375000,2025-08-21 19:34:05+00:00,4375.0,1.8,0.9,1.15,0.0,0.0,6.0,230,0.4591118542480469,False,REGULAR,USD
SPXW250930P04400000,2025-08-22 16:19:57+00:00,4400.0,1.17,0.95,1.2,-0.73,-38.42105,4.0,3009,0.45508357421875,False,REGULAR,USD
SPXW250930P04425000,2025-08-21 16:31:12+00:00,4425.0,2.0,1.0,1.25,0.0,0.0,42.0,3364,0.45093322509765627,False,REGULAR,USD
SPXW250930P04450000,2025-08-22 17:08:02+00:00,4450.0,1.25,1.05,1.3,-0.65,-34.210526,3.0,1352,0.4467828759765625,False,REGULAR,USD
SPXW250930P04475000,2025-07-23 16:34:01+00:00,4475.0,5.3,1.25,1.4,0.0,0.0,2.0,144,0.44434149414062496,False,REGULAR,USD
SPXW250930P04500000,2025-08-21 15:22:33+00:00,4500.0,1.45,1.15,1.4,-0.66999984,-31.60377,1.0,2318,0.4381770050048829,False,REGULAR,USD
SPXW250930P04525000,2025-08-22 15:33:23+00:00,4525.0,1.48,1.15,1.45,-3.7199998,-71.53846,1.0,206,0.4338435522460938,False,REGULAR,USD
SPXW250930P04550000,2025-08-22 20:04:53+00:00,4550.0,1.4,1.2,1.45,-1.1,-44.0,3.0,332,0.42774009765625004,False,REGULAR,USD
SPXW250930P04575000,2025-08-15 18:27:50+00:00,4575.0,2.7,1.25,1.5,0.0,0.0,21.0,680,0.4233456103515625,False,REGULAR,USD
SPXW250930P04590000,2025-06-26 17:39:00+00:00,4590.0,12.37,5.0,5.5,0.0,0.0,,1,0.4963429272460938,False,REGULAR,USD
SPXW250930P04600000,2025-08-22 17:08:02+00:00,4600.0,1.55,1.3,1.6,-1.0,-39.215687,2.0,4132,0.4204159521484375,False,REGULAR,USD
SPXW250930P04610000,2025-08-22 19:53:55+00:00,4610.0,1.55,1.35,1.7,-1.45,-48.333336,2.0,61,0.4209652630615235,False,REGULAR,USD
SPXW250930P04620000,2025-08-20 19:18:05+00:00,4620.0,2.48,1.35,1.7,0.0,0.0,58.0,60,0.4185238812255859,False,REGULAR,USD
SPXW250930P04625000,2025-08-12 15:19:00+00:00,4625.0,3.2,1.4,1.65,0.0,0.0,10.0,152,0.41583836120605466,False,REGULAR,USD
SPXW250930P04630000,2025-08-21 19:35:03+00:00,4630.0,2.55,1.4,1.65,0.0,0.0,5.0,111,0.41461767028808594,False,REGULAR,USD
SPXW250930P04640000,2025-08-08 08:53:49+00:00,4640.0,4.8,1.4,1.75,0.0,0.0,6.0,45,0.415044912109375,False,REGULAR,USD
