contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPXW250828P02600000,2025-08-22 18:19:43+00:00,2600.0,0.05,0.0,0.0,0.0,0.0,2.0,75,0.500005,False,REGULAR,USD
SPXW250828P02800000,2025-07-29 13:39:29+00:00,2800.0,0.1,0.0,0.0,0.0,0.0,,1,0.500005,False,REGULAR,USD
SPXW250828P03000000,2025-08-04 14:25:31+00:00,3000.0,0.15,0.0,0.0,0.0,0.0,10.0,9,0.500005,False,REGULAR,USD
SPXW250828P03200000,2025-08-08 17:11:43+00:00,3200.0,0.05,0.0,0.0,0.0,0.0,1.0,16,0.500005,False,REGULAR,USD
SPXW250828P03400000,2025-08-05 14:10:01+00:00,3400.0,0.3,0.0,0.0,0.0,0.0,,3,0.500005,False,REGULAR,USD
SPXW250828P03600000,2025-08-14 13:34:52+00:00,3600.0,0.05,0.0,0.0,0.0,0.0,1.0,9,0.500005,False,REGULAR,USD
SPXW250828P03800000,2025-08-18 16:01:03+00:00,3800.0,0.05,0.0,0.0,0.0,0.0,2.0,41,0.500005,False,REGULAR,USD
SPXW250828P04000000,2025-08-20 19:13:36+00:00,4000.0,0.05,0.0,0.0,0.0,0.0,10.0,72,0.500005,False,REGULAR,USD
SPXW250828P04200000,2025-08-20 19:21:29+00:00,4200.0,0.05,0.0,0.1,0.0,0.0,1.0,306,0.9804689453125001,False,REGULAR,USD
SPXW250828P04400000,2025-08-22 13:37:37+00:00,4400.0,0.05,0.0,0.1,-0.05,-50.0,15.0,687,0.8808605664062499,False,REGULAR,USD
SPXW250828P04600000,2025-08-22 18:31:48+00:00,4600.0,0.05,0.0,0.1,-0.10000001,-66.66667,1514.0,266,0.7851583984375,False,REGULAR,USD
SPXW250828P04800000,2025-08-22 18:19:26+00:00,4800.0,0.05,0.0,0.1,-0.10000001,-66.66667,63.0,2547,0.6914093359375001,False,REGULAR,USD
SPXW250828P05000000,2025-08-22 20:00:18+00:00,5000.0,0.05,0.0,0.15,-0.15,-75.0,132.0,289,0.6210975390625001,False,REGULAR,USD
SPXW250828P05100000,2025-08-22 15:01:39+00:00,5100.0,0.1,0.0,0.15,-0.15,-60.000004,6.0,266,0.57617611328125,False,REGULAR,USD
SPXW250828P05200000,2025-08-22 20:12:54+00:00,5200.0,0.1,0.0,0.15,-0.25,-71.42857,20.0,10265,0.532231240234375,False,REGULAR,USD
SPXW250828P05300000,2025-08-22 17:53:41+00:00,5300.0,0.1,0.0,0.15,-0.15,-60.000004,36.0,1477,0.51758294921875,False,REGULAR,USD
