contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPXW250911P02600000,2025-08-12 13:50:30+00:00,2600.0,0.1,,0.15,0.0,0.0,,1.0,1.18359783203125,False,REGULAR,USD
SPXW250911P03000000,2025-08-12 15:14:41+00:00,3000.0,0.15,0.0,0.15,0.0,0.0,,1.0,0.9570316796874999,False,REGULAR,USD
SPXW250911P03200000,2025-08-20 15:08:12+00:00,3200.0,0.15,0.0,0.15,0.0,0.0,1.0,101.0,0.8789074609374999,False,REGULAR,USD
SPXW250911P03400000,2025-08-14 13:56:19+00:00,3400.0,0.15,0.0,0.2,0.0,0.0,,57.0,0.823243955078125,False,REGULAR,USD
SPXW250911P03600000,2025-08-19 19:53:57+00:00,3600.0,0.1,0.0,0.2,-0.1,-50.0,1.0,9.0,0.7539087109375,False,REGULAR,USD
SPXW250911P03800000,2025-08-19 18:50:24+00:00,3800.0,0.3,0.0,0.25,0.0,0.0,12.0,15.0,0.6992217578125001,False,REGULAR,USD
SPXW250911P04000000,2025-08-20 15:13:15+00:00,4000.0,0.45,0.0,0.25,0.0,0.0,5.0,91.0,0.6357458300781251,False,REGULAR,USD
SPXW250911P04200000,2025-08-20 14:32:17+00:00,4200.0,0.25,0.1,0.3,-0.39999998,-61.53846,10.0,167.0,0.596683720703125,False,REGULAR,USD
SPXW250911P04400000,2025-08-13 19:13:23+00:00,4400.0,0.8,0.2,0.45,0.0,0.0,22.0,12.0,0.5590864404296876,False,REGULAR,USD
SPXW250911P04600000,2025-08-20 18:16:12+00:00,4600.0,1.0,0.3,0.6,0.0,0.0,6.0,6.0,0.5141650146484374,False,REGULAR,USD
SPXW250911P04800000,2025-08-20 18:19:35+00:00,4800.0,1.35,0.5,0.7,0.0,0.0,5.0,173.0,0.47510290527343746,False,REGULAR,USD
SPXW250911P05000000,2025-08-22 19:36:02+00:00,5000.0,0.95,0.7,0.95,-0.65000004,-40.625004,54.0,178.0,0.4293880303955079,False,REGULAR,USD
SPXW250911P05100000,2025-08-22 15:45:00+00:00,5100.0,1.2,0.85,1.1,-0.75,-38.461536,2.0,136.0,0.4061338684082031,False,REGULAR,USD
SPXW250911P05200000,2025-08-22 17:52:33+00:00,5200.0,1.3,1.0,1.35,-0.94000006,-41.96429,2.0,32.0,0.3853821228027343,False,REGULAR,USD
SPXW250911P05400000,2025-08-22 19:42:22+00:00,5400.0,1.75,1.45,1.75,-1.3499999,-43.548386,11443.0,16.0,0.3362798306274414,False,REGULAR,USD
SPXW250911P05475000,2025-08-22 15:45:00+00:00,5475.0,2.15,1.65,2.0,-1.1499999,-34.84848,20.0,9.0,0.31915964050292955,False,REGULAR,USD
SPXW250911P05500000,2025-08-22 15:45:00+00:00,5500.0,2.25,1.75,2.05,-1.3499999,-37.499996,22.0,44.0,0.3125679095458984,False,REGULAR,USD
SPXW250911P05550000,2025-08-22 15:45:00+00:00,5550.0,2.4,1.9,2.2,-2.0,-45.454544,2.0,127.0,0.3001778967285156,False,REGULAR,USD
SPXW250911P05600000,2025-08-22 13:33:22+00:00,5600.0,3.5,2.05,2.45,-1.0100002,-22.394682,4.0,19.0,0.28922219573974606,False,REGULAR,USD
SPXW250911P05625000,2025-08-20 17:50:52+00:00,5625.0,3.7,2.1,2.55,-0.60000014,-13.95349,1.0,52.0,0.2830882238769531,False,REGULAR,USD
SPXW250911P05650000,2025-08-22 19:30:25+00:00,5650.0,2.65,2.25,2.55,-1.75,-39.772724,1.0,75.0,0.27530631927490234,False,REGULAR,USD
SPXW250911P05675000,2025-08-20 01:42:55+00:00,5675.0,5.0,2.3,2.75,0.0,0.0,15.0,44.0,0.27057614196777346,False,REGULAR,USD
SPXW250911P05700000,2025-08-22 15:52:45+00:00,5700.0,3.13,2.45,2.8,-1.8699999,-37.399998,100.0,101.0,0.2634656173706055,False,REGULAR,USD
SPXW250911P05725000,2025-08-19 17:59:59+00:00,5725.0,4.9,2.55,3.0,0.0,0.0,2.0,45.0,0.258369232788086,False,REGULAR,USD
SPXW250911P05750000,2025-08-18 19:22:00+00:00,5750.0,3.2,2.65,3.2,-1.6000001,-33.333336,1.0,50.0,0.2530287100219727,False,REGULAR,USD
