contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPXW250915P02600000,2025-08-11 14:26:14+00:00,2600.0,0.15,0.0,0.15,0.0,0.0,8.0,9,1.0293017285156252,False,REGULAR,USD
SPXW250915P03000000,2025-08-20 13:53:42+00:00,3000.0,0.1,0.0,0.15,0.0,0.0,3.0,20,0.8730481445312499,False,REGULAR,USD
SPXW250915P03400000,2025-08-20 13:54:35+00:00,3400.0,0.2,0.0,0.2,0.0,0.0,2.0,27,0.75195560546875,False,REGULAR,USD
SPXW250915P03600000,2025-08-14 13:56:19+00:00,3600.0,0.25,0.05,0.25,0.0,0.0,11.0,32,0.70898728515625,False,REGULAR,USD
SPXW250915P03800000,2025-08-20 13:54:43+00:00,3800.0,0.4,0.0,0.2,0.0,0.0,2.0,108,0.6279334082031252,False,REGULAR,USD
SPXW250915P04000000,2025-08-22 20:07:18+00:00,4000.0,0.2,0.05,0.35,-0.24999999,-55.555553,4.0,56,0.6020547607421877,False,REGULAR,USD
SPXW250915P04200000,2025-08-21 20:05:01+00:00,4200.0,0.32,0.15,0.35,-0.18,-36.0,6.0,209,0.5546919531250001,False,REGULAR,USD
SPXW250915P04400000,2025-08-21 17:26:24+00:00,4400.0,0.47,0.25,0.5,-0.38000003,-44.705883,6.0,114,0.5168505346679688,False,REGULAR,USD
SPXW250915P04600000,2025-08-21 13:31:31+00:00,4600.0,0.75,0.45,0.65,-0.25,-25.0,17.0,669,0.4864553308105469,False,REGULAR,USD
SPXW250915P04800000,2025-08-22 14:15:47+00:00,4800.0,0.8,0.65,0.9,-0.65000004,-44.827587,110.0,674,0.445318046875,False,REGULAR,USD
SPXW250915P05000000,2025-08-22 18:23:28+00:00,5000.0,1.2,0.95,1.2,-0.6999999,-36.842102,200.0,256,0.40241076110839846,False,REGULAR,USD
SPXW250915P05100000,2025-08-22 14:44:55+00:00,5100.0,1.55,1.15,1.4,-0.60000014,-27.90698,30.0,452,0.3813538427734374,False,REGULAR,USD
SPXW250915P05200000,2025-08-22 19:54:16+00:00,5200.0,1.6,1.35,1.6,-1.0500001,-39.622643,67.0,417,0.3591372680664062,False,REGULAR,USD
SPXW250915P05300000,2025-08-22 19:54:08+00:00,5300.0,1.85,1.6,1.9,-1.15,-38.333332,10641.0,472,0.33850759155273435,False,REGULAR,USD
SPXW250915P05400000,2025-08-22 20:07:18+00:00,5400.0,2.09,1.9,2.2,-1.3100002,-38.529415,124.0,98,0.3164741204833984,False,REGULAR,USD
SPXW250915P05500000,2025-08-22 19:54:17+00:00,5500.0,2.55,2.2,2.55,-1.9800003,-43.708614,80.0,3218,0.2941354766845703,False,REGULAR,USD
SPXW250915P05550000,2025-08-22 19:54:18+00:00,5550.0,2.75,2.35,2.75,-1.8499999,-40.217392,29.0,14,0.28290512023925773,False,REGULAR,USD
SPXW250915P05575000,2025-08-22 05:23:42+00:00,5575.0,4.6,2.45,2.85,-1.0,-17.857143,15.0,1,0.2771678729248046,False,REGULAR,USD
