contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPXW250923P03600000,2025-08-15 19:24:54+00:00,3600.0,0.55,0.1,0.4,0.0,0.0,,2,0.639652041015625,False,REGULAR,USD
SPXW250923P04800000,2025-08-22 19:25:51+00:00,4800.0,1.42,1.25,1.6,-0.67999995,-32.38095,14.0,35,0.41144387390136716,False,REGULAR,USD
SPXW250923P05200000,2025-08-22 19:04:05+00:00,5200.0,2.65,2.3,2.7,-1.0999999,-29.333332,7.0,31,0.3329839651489258,False,REGULAR,USD
SPXW250923P05400000,2025-08-20 19:25:42+00:00,5400.0,5.2,3.1,3.6,-0.10000038,-1.8867996,1.0,24,0.2940134075927734,False,REGULAR,USD
SPXW250923P05500000,2025-08-22 14:25:08+00:00,5500.0,4.5,3.7,4.2,-2.0,-30.769232,14.0,45,0.2745586460876465,False,REGULAR,USD
SPXW250923P05600000,2025-08-22 19:33:28+00:00,5600.0,5.0,4.4,4.9,-3.1999998,-39.024387,11.0,7,0.2546766427612305,False,REGULAR,USD
SPXW250923P05700000,2025-08-20 19:23:44+00:00,5700.0,6.25,5.3,5.9,-2.6499996,-29.775276,1.0,18,0.23561860580444333,False,REGULAR,USD
SPXW250923P06025000,2025-08-22 18:58:59+00:00,6025.0,14.0,13.1,13.9,-7.9799995,-36.305733,1.0,7,0.17882596084594726,False,REGULAR,USD
SPXW250923P06050000,2025-08-20 19:26:46+00:00,6050.0,25.9,14.3,15.1,0.0,0.0,2.0,3,0.17472138763427736,False,REGULAR,USD
SPXW250923P06075000,2025-08-22 14:00:06+00:00,6075.0,24.57,15.6,16.5,-8.540001,-25.792812,2.0,14,0.17081517669677737,False,REGULAR,USD
SPXW250923P06100000,2025-08-22 19:25:51+00:00,6100.0,18.03,17.1,18.0,-18.269999,-50.330574,11.0,4,0.16674493541717533,False,REGULAR,USD
SPXW250923P06175000,2025-08-22 14:14:40+00:00,6175.0,26.49,22.7,23.6,-15.210001,-36.47482,2.0,9,0.15443121578216557,False,REGULAR,USD
SPXW250923P06200000,2025-08-22 19:59:35+00:00,6200.0,25.6,24.8,25.9,-25.44,-49.84326,57.0,11,0.15024653472900396,False,REGULAR,USD
SPXW250923P06225000,2025-08-22 19:25:51+00:00,6225.0,28.9,27.4,28.5,-27.33,-48.60395,1.0,22,0.14608474163055418,False,REGULAR,USD
SPXW250923P06250000,2025-08-21 20:00:58+00:00,6250.0,32.3,30.1,31.3,-28.470001,-46.848778,1.0,10,0.14167881034851074,False,REGULAR,USD
SPXW250923P06300000,2025-08-20 16:31:46+00:00,6300.0,41.25,36.8,38.0,-24.699997,-37.45261,1.0,107,0.1327753959655762,False,REGULAR,USD
SPXW250923P06325000,2025-08-22 19:38:39+00:00,6325.0,43.65,40.8,42.0,-35.82,-45.073612,1.0,13,0.12824930292129516,False,REGULAR,USD
SPXW250923P06400000,2025-08-22 19:33:53+00:00,6400.0,58.8,56.0,57.2,-23.3,-28.380024,12.0,21,0.11395386787414552,False,REGULAR,USD
SPXW250923P06425000,2025-08-19 15:47:08+00:00,6425.0,84.75,62.5,63.8,0.0,0.0,1.0,2,0.10914739738464355,False,REGULAR,USD
